user_id,final_rec
1,"[1082185, 995242, 840361, 961554, 13416117]"
3,"[1082185, 1029743, 981760, 840361, 13416117]"
6,"[1082185, 1029743, 962568, 981760, 13416117]"
7,"[1082185, 1106523, 923746, 5569230, 13416117]"
8,"[1029743, 1082185, 923746, 1068719, 13416117]"
9,"[1029743, 1082185, 981760, 908531, 13416117]"
13,"[1029743, 1082185, 981760, 951590, 13416117]"
14,"[1029743, 981760, 1053690, 1082185, 13416117]"
15,"[1082185, 1029743, 981760, 962568, 13416117]"
16,"[1029743, 840361, 1005186, 986912, 13416117]"
17,"[1082185, 1106523, 923746, 962568, 13416117]"
18,"[840361, 962568, 903325, 961554, 13416117]"
19,"[1082185, 1029743, 1044078, 908531, 6533765]"
20,"[1126899, 840361, 1005186, 1075368, 13416117]"
22,"[1082185, 1070820, 840361, 962568, 13416117]"
23,"[1082185, 1070820, 986912, 981760, 13416117]"
24,"[1106523, 1053690, 908531, 859075, 6533765]"
25,"[1029743, 981760, 908531, 844165, 13416117]"
26,"[1029743, 981760, 1053690, 979707, 13416117]"
27,"[1082185, 1092026, 862349, 908531, 6533765]"
28,"[1005186, 1126899, 981760, 844165, 13416117]"
29,"[844165, 981760, 1029743, 1005186, 6533765]"
30,"[981760, 962568, 1029743, 1053690, 13416117]"
31,"[1082185, 962568, 981760, 1070820, 13416117]"
32,"[1070820, 962568, 903325, 979707, 13416117]"
33,"[1106523, 923746, 1005186, 1085604, 6533765]"
34,"[1106523, 840361, 1044078, 908531, 6533765]"
35,"[1053690, 1106523, 916122, 908531, 6533765]"
36,"[1029743, 981760, 1082185, 979707, 13416117]"
37,"[844165, 1106523, 908531, 1005186, 6533765]"
39,"[1082185, 923746, 1068719, 1126899, 13416117]"
40,"[1082185, 840361, 995242, 903325, 13416117]"
41,"[1082185, 1126899, 866211, 961554, 13416117]"
42,"[1082185, 981760, 923746, 1029743, 13416117]"
43,"[1082185, 1029743, 981760, 840361, 13416117]"
46,"[1082185, 1029743, 981760, 962568, 13416117]"
47,"[1005186, 1126899, 1085604, 923746, 13416117]"
48,"[1082185, 1029743, 981760, 840361, 13416117]"
49,"[1070820, 914190, 933835, 981760, 13416117]"
52,"[1106523, 1082185, 962568, 903325, 13416117]"
53,"[1082185, 1070820, 840361, 908531, 13416117]"
55,"[995242, 844165, 908531, 859075, 13416117]"
56,"[1082185, 5569230, 995242, 951590, 13416117]"
57,"[1106523, 1082185, 981760, 1005186, 13416117]"
58,"[1082185, 1126899, 961554, 840361, 13416117]"
59,"[1106523, 1053690, 979707, 981760, 13416117]"
60,"[1082185, 1029743, 981760, 840361, 13416117]"
63,"[1029743, 840361, 1005186, 986912, 13416117]"
64,"[1106523, 1082185, 1005186, 1068719, 6533765]"
65,"[1070820, 1082185, 914190, 962229, 6533765]"
67,"[1082185, 1106523, 914190, 840361, 13416117]"
68,"[1082185, 995242, 908531, 1044078, 6533765]"
69,"[1082185, 1106523, 1005186, 923746, 6533765]"
70,"[1005186, 1070820, 1085604, 1082185, 6533765]"
71,"[1029743, 844165, 908531, 914190, 6533765]"
72,"[1082185, 1070820, 962568, 914190, 13416117]"
73,"[1082185, 1029743, 981760, 840361, 13416117]"
74,"[1106523, 981760, 1082185, 923746, 13416117]"
75,"[1082185, 1029743, 981760, 840361, 13416117]"
76,"[995242, 908531, 1082185, 840361, 13416117]"
77,"[1082185, 1106523, 840361, 916122, 13416117]"
78,"[1082185, 923746, 1029743, 1068719, 13416117]"
79,"[1082185, 1005186, 981760, 1070820, 13416117]"
80,"[1029743, 840361, 1068719, 1005186, 13416117]"
81,"[1029743, 844165, 1005186, 859075, 6533765]"
82,"[1106523, 840361, 979707, 1070015, 13416117]"
83,"[1029743, 1005186, 923746, 1085604, 13416117]"
84,"[1082185, 1029743, 840361, 5569230, 13416117]"
85,"[1029743, 840361, 1005186, 986912, 13416117]"
86,"[1082185, 981760, 951590, 986912, 13416117]"
87,"[1070820, 979707, 840361, 962568, 13416117]"
88,"[1082185, 1070820, 1005186, 1044078, 6533765]"
89,"[1082185, 1029743, 981760, 840361, 13416117]"
90,"[1082185, 1029743, 981760, 840361, 13416117]"
91,"[1082185, 1029743, 981760, 1005186, 13416117]"
92,"[923746, 962568, 1029743, 1068719, 13416117]"
94,"[1082185, 1070820, 901062, 1098844, 13416117]"
95,"[1029743, 1082185, 981760, 923746, 13416117]"
97,"[1029743, 1082185, 908531, 914190, 13416117]"
98,"[1005186, 1082185, 1092026, 862349, 6533765]"
99,"[995242, 1082185, 916122, 908531, 13416117]"
101,"[1133018, 914190, 962568, 899624, 6533765]"
103,"[1106523, 923746, 1053690, 5569230, 13416117]"
104,"[840361, 1029743, 1082185, 914190, 13416117]"
105,"[1005186, 1029743, 923746, 844165, 13416117]"
106,"[1106523, 5569230, 979707, 1053690, 13416117]"
108,"[1082185, 1106523, 908531, 1053690, 13416117]"
109,"[1082185, 840361, 1126899, 961554, 13416117]"
110,"[1106523, 1082185, 923746, 1068719, 6533765]"
111,"[1106523, 1053690, 5569230, 923746, 13416117]"
112,"[1005186, 1126899, 1085604, 1075368, 13416117]"
113,"[1082185, 840361, 1070820, 903325, 13416117]"
114,"[1029743, 981760, 923746, 951590, 13416117]"
115,"[1082185, 844165, 916122, 908531, 13416117]"
116,"[1106523, 840361, 962568, 1082185, 6533765]"
117,"[1082185, 840361, 1070820, 962568, 13416117]"
118,"[1082185, 1058997, 840361, 908531, 13416117]"
119,"[840361, 1082185, 1126899, 979707, 13416117]"
120,"[1082185, 1029743, 981760, 840361, 13416117]"
121,"[1106523, 1005186, 840361, 1085604, 6533765]"
122,"[1070820, 914190, 962568, 981760, 13416117]"
123,"[1029743, 981760, 962568, 914190, 13416117]"
124,"[1106523, 914190, 908531, 1044078, 6533765]"
125,"[1029743, 844165, 1082185, 908531, 6533765]"
127,"[1082185, 840361, 1029743, 1044078, 6533765]"
128,"[1082185, 1029743, 840361, 961554, 13416117]"
131,"[1082185, 1029743, 908531, 1098844, 13416117]"
132,"[1082185, 1106523, 5569230, 866211, 13416117]"
133,"[1082185, 1029743, 981760, 1098844, 13416117]"
135,"[1082185, 1070820, 986912, 1005186, 13416117]"
136,"[1106523, 1053690, 5569230, 951590, 13416117]"
138,"[840361, 1029743, 979707, 914190, 13416117]"
139,"[1082185, 1126899, 1005186, 840361, 13416117]"
142,"[1029743, 1005186, 844165, 1075368, 13416117]"
143,"[1029743, 844165, 908531, 1044078, 6533765]"
144,"[1029743, 923746, 981760, 1005186, 13416117]"
145,"[1029743, 981760, 923746, 8090537, 13416117]"
147,"[1106523, 908531, 840361, 1053690, 6533765]"
148,"[1029743, 5569230, 908531, 1053690, 13416117]"
149,"[1070820, 962568, 914190, 981760, 13416117]"
151,"[1029743, 1005186, 844165, 916122, 13416117]"
152,"[962568, 1070820, 981760, 903325, 13416117]"
153,"[1106523, 981760, 1053690, 962568, 13416117]"
154,"[1082185, 1029743, 981760, 840361, 13416117]"
155,"[1029743, 981760, 923746, 1005186, 13416117]"
156,"[1005186, 981760, 1029743, 1085604, 13416117]"
157,"[1029743, 1082185, 981760, 1005186, 13416117]"
158,"[1070820, 1005186, 1082185, 962568, 6533765]"
159,"[1082185, 1106523, 923746, 986912, 13416117]"
160,"[1070820, 981760, 1005186, 986912, 13416117]"
161,"[916122, 981760, 1053690, 859075, 13416117]"
162,"[1082185, 1070820, 986912, 962568, 13416117]"
163,"[1082185, 1029743, 981760, 840361, 13416117]"
164,"[840361, 1029743, 1044078, 908531, 13416117]"
165,"[1082185, 1070820, 962568, 914190, 13416117]"
166,"[1029743, 981760, 951590, 5568378, 13416117]"
167,"[1070820, 1005186, 840361, 986912, 13416117]"
171,"[1029743, 908531, 840361, 1044078, 13416117]"
172,"[1106523, 1044078, 908531, 1092026, 6533765]"
175,"[1029743, 840361, 908531, 914190, 13416117]"
177,"[1082185, 1029743, 981760, 840361, 13416117]"
178,"[1092026, 1005186, 859075, 862349, 6533765]"
180,"[995242, 1082185, 908531, 923746, 13416117]"
182,"[1106523, 923746, 1068719, 1044078, 6533765]"
183,"[1106523, 1005186, 840361, 986912, 13416117]"
184,"[962568, 899624, 981760, 923746, 13416117]"
185,"[995242, 908531, 844165, 1065593, 13416117]"
188,"[1082185, 1029743, 981760, 840361, 13416117]"
189,"[981760, 1106523, 951590, 5569230, 13416117]"
191,"[995242, 908531, 1082185, 981760, 13416117]"
192,"[1029743, 981760, 5569230, 951590, 13416117]"
193,"[1029743, 840361, 914190, 867188, 13416117]"
194,"[1082185, 962568, 1106523, 903325, 13416117]"
195,"[1029743, 1082185, 981760, 923746, 13416117]"
196,"[1106523, 1082185, 5569230, 908531, 13416117]"
197,"[1082185, 1126899, 951590, 866211, 13416117]"
198,"[1106523, 923746, 981760, 899624, 13416117]"
199,"[1029743, 5569230, 840361, 951590, 13416117]"
200,"[1126899, 1005186, 840361, 1068719, 13416117]"
201,"[1082185, 1029743, 923746, 908531, 6533765]"
203,"[1029743, 840361, 1005186, 986912, 13416117]"
204,"[981760, 862349, 1005186, 1053690, 6533765]"
205,"[1106523, 1082185, 981760, 5569230, 13416117]"
206,"[1082185, 1029743, 981760, 840361, 13416117]"
207,"[1082185, 962568, 840361, 903325, 13416117]"
208,"[1082185, 981760, 1070820, 962568, 13416117]"
209,"[923746, 1106523, 899624, 1068719, 6533765]"
210,"[1082185, 923746, 1005186, 1068719, 13416117]"
211,"[1082185, 1070820, 986912, 981760, 6533765]"
212,"[1082185, 1029743, 908531, 840361, 13416117]"
214,"[1082185, 1070820, 901062, 1098844, 13416117]"
215,"[1082185, 1005186, 1070820, 986912, 13416117]"
216,"[1005186, 981760, 1082185, 1070820, 13416117]"
217,"[1082185, 981760, 1106523, 914190, 13416117]"
218,"[1029743, 923746, 962568, 899624, 13416117]"
219,"[1082185, 981760, 1126899, 1005186, 13416117]"
220,"[1029743, 923746, 1068719, 981760, 13416117]"
221,"[1082185, 1106523, 923746, 908531, 6533765]"
222,"[1082185, 1126899, 1005186, 866211, 13416117]"
223,"[840361, 908531, 1044078, 1106523, 6533765]"
224,"[1029743, 923746, 899624, 914190, 13416117]"
225,"[1029743, 981760, 923746, 908531, 13416117]"
226,"[1029743, 908531, 1053690, 979707, 13416117]"
227,"[840361, 908531, 1106523, 1044078, 6533765]"
228,"[1082185, 1126899, 1005186, 866211, 13416117]"
230,"[1029743, 840361, 1044078, 1068719, 13416117]"
232,"[1029743, 844165, 908531, 1044078, 6533765]"
233,"[1029743, 923746, 908531, 981760, 13416117]"
235,"[1082185, 962568, 1070820, 981760, 13416117]"
236,"[1029743, 840361, 908531, 1070015, 13416117]"
237,"[1082185, 1029743, 981760, 840361, 13416117]"
238,"[1070820, 1005186, 1075368, 1085604, 13416117]"
239,"[1106523, 1082185, 840361, 914190, 6533765]"
240,"[1082185, 1029743, 981760, 840361, 13416117]"
242,"[1082185, 1029743, 981760, 908531, 13416117]"
243,"[962568, 903325, 979707, 916122, 13416117]"
244,"[1082185, 1070820, 986912, 1098844, 13416117]"
245,"[1082185, 1106523, 908531, 1044078, 6533765]"
246,"[1106523, 1005186, 986912, 1053690, 13416117]"
247,"[1082185, 1106523, 986912, 981760, 13416117]"
248,"[1082185, 1029743, 981760, 951590, 13416117]"
249,"[995242, 844165, 923746, 899624, 13416117]"
250,"[995242, 5568378, 859075, 844165, 13416117]"
251,"[840361, 1070820, 914190, 933835, 13416117]"
253,"[1068719, 923746, 1005186, 1044078, 6533765]"
254,"[1106523, 923746, 1053690, 5569230, 13416117]"
255,"[1029743, 840361, 1005186, 986912, 13416117]"
